,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
148,871958765ffffff,7,4839.656415343916,10.0,9.0,"[51.481319291670864, -2.618430769179603]",0
149,87195866affffff,7,0.0,0.0,0.0,"[51.28567597519626, -2.728021828807029]",4
150,87195865effffff,7,0.0,0.0,0.0,"[51.276525297416335, -2.859255003208087]",6
151,871958675ffffff,7,0.0,0.0,0.0,"[51.35723163564624, -2.7827843750233225]",1
152,871958766ffffff,7,22204.506001984126,2.0,1.0,"[51.496426656481596, -2.6732336281157276]",0
153,87195860dffffff,7,1287.9875,0.0,0.0,"[51.36997109714995, -2.8704539011027452]",4
154,871958709ffffff,7,61.5462962962963,0.0,0.0,"[51.48746305342553, -2.8048985166010336]",1
155,871958768ffffff,7,14524.448908730159,0.0,0.0,"[51.424912231096265, -2.618521029312232]",1
156,871958718ffffff,7,0.0,0.0,0.0,"[51.517504726805804, -2.914822155853773]",5
157,871958769ffffff,7,1982.4577546296296,4.0,3.0,"[51.40758039370207, -2.5966580385478353]",0
158,871958398ffffff,7,9.875,0.0,0.0,"[51.41198540648336, -2.5309945279344435]",1
159,8719580caffffff,7,410.83333333333337,13.0,6.0,"[51.51817309183594, -2.629339366868933]",0
160,871958708ffffff,7,0.0,0.0,0.0,"[51.504763913785006, -2.8268893526840997]",2
161,871958640ffffff,7,0.0,0.0,0.0,"[51.3007244460054, -2.7827144937077413]",3
162,871958703ffffff,7,0.0,0.0,0.0,"[51.53935369413312, -2.870921676207392]",4
163,87195870dffffff,7,0.0,0.0,0.0,"[51.50702335812091, -2.793949926084618]",1
164,871958650ffffff,7,4959.2485119047615,0.0,0.0,"[51.31345156945567, -2.870298583605575]",5
165,871958394ffffff,7,8312.511342592594,3.0,1.0,"[51.48571506125867, -2.552674030043253]",0
166,871958754ffffff,7,863.3730158730159,2.0,2.0,"[51.47015822747682, -2.7829245470499817]",0
167,871958290ffffff,7,0.0,0.0,0.0,"[51.329346593801404, -2.640538288508264]",2
168,871958663ffffff,7,0.0,0.0,0.0,"[51.32259320457029, -2.7389725808722702]",2
169,871958634ffffff,7,0.0,0.0,0.0,"[51.49562762540135, -2.95870409924965]",6
170,871958635ffffff,7,0.0,0.0,0.0,"[51.47834204290347, -2.93665515072528]",5
171,87195871effffff,7,0.0,0.0,0.0,"[51.53478996716381, -2.936875851286601]",6
172,871958755ffffff,7,1101.6680555555556,0.0,0.0,"[51.452849446834136, -2.760967431090639]",1
173,871958655ffffff,7,546.2916666666666,0.0,0.0,"[51.315751685856576, -2.8374585416992315]",4
174,871958773ffffff,7,3152.25,0.0,0.0,"[51.47241007879314, -2.750014222911798]",1
175,871958674ffffff,7,780.8842592592592,0.0,0.0,"[51.37454497426494, -2.8047154476078453]",2
176,871958740ffffff,7,88.41203703703704,0.0,0.0,"[51.437781012949436, -2.7061459222221362]",1
177,8719580d9ffffff,7,0.0,0.0,0.0,"[51.51596279148229, -2.6622498681397038]",1
178,871958280ffffff,7,0.0,0.0,0.0,"[51.3164562201178, -2.55313616763503]",2
179,871958660ffffff,7,0.0,0.0,0.0,"[51.342179048272726, -2.728038404760912]",1
180,871958628ffffff,7,1122.3541666666667,0.0,0.0,"[51.40915984322532, -2.848628008119251]",4
181,871958380ffffff,7,0.0,0.0,0.0,"[51.45321669003139, -2.4761403497626593]",1
182,871958749ffffff,7,0.0,0.0,0.0,"[51.36624660423422, -2.6514342022645683]",1
183,87195805dffffff,7,0.0,5.0,2.0,"[51.550716580856125, -2.420948400087821]",0
184,871958662ffffff,7,61.75,0.0,0.0,"[51.33991437545361, -2.760870090399743]",1
185,871958216ffffff,7,0.0,0.0,0.0,"[51.3621210364912, -2.432814444465458]",3
186,871958631ffffff,7,0.0,0.0,0.0,"[51.45875140364825, -2.9475619213462814]",5
187,87195829affffff,7,0.0,0.0,0.0,"[51.27285602427423, -2.6406068193976684]",5
188,87195876affffff,7,2844.325925925926,0.0,0.0,"[51.422691307452716, -2.6513761157592746]",1
189,87195871cffffff,7,0.0,0.0,0.0,"[51.53707676377303, -2.903895921620814]",5
190,871958743ffffff,7,51.62268518518519,0.0,0.0,"[51.4182200650257, -2.717103708186144]",1
191,871958384ffffff,7,0.0,0.0,0.0,"[51.47272909915881, -2.4651149819422495]",1
192,87195839affffff,7,1761.7853835978835,0.0,0.0,"[51.40978778893606, -2.5638233518396105]",1
193,871958646ffffff,7,738.875,0.0,0.0,"[51.31804199349647, -2.8046241805541876]",3
194,871958608ffffff,7,568.4134259259259,0.0,0.0,"[51.36766942254676, -2.9033316453292564]",5
195,87195860effffff,7,0.0,0.0,0.0,"[51.38496743610468, -2.9253229483339958]",6
196,871958701ffffff,7,0.0,0.0,0.0,"[51.541620763791165, -2.837953135414089]",3
197,871958669ffffff,7,0.0,0.0,0.0,"[51.27060633654158, -2.673380574219685]",5
198,871958282ffffff,7,0.0,0.0,0.0,"[51.31423813867254, -2.585915679916193]",3
199,871958058ffffff,7,0.0,0.0,0.0,"[51.54857112761618, -2.453832230610104]",1
200,87195862effffff,7,534.0082671957672,0.0,0.0,"[51.4264613517783, -2.8706095217758283]",4
201,8719587a9ffffff,7,0.0,0.0,0.0,"[51.51290919910005, -2.980769938651328]",7
202,8719583b5ffffff,7,0.0,29.0,11.0,"[51.509577705936586, -2.475911146017964]",0
