,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
71,8719580c8ffffff,7,6.958333333333333,6.0,4.0,"[51.52037358024469, -2.5964347112466952]",0,437.3657218138055,1000,400,0,0.007467026742143322,0.013015923654764868,0.1941426952957264,5.824280858871791,0.39047770964294604,300
72,87195876dffffff,7,174.92483686067018,2.0,1.0,"[51.42712336384187, -2.585671776128556]",0,437.3657218138055,1000,400,0,0.18771282893945135,0.32720598638093645,4.880533552425735,146.41600657277206,9.816179591428094,300
73,871958770ffffff,7,0.0,0.0,0.0,"[51.49196450859629, -2.739054523187255]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
74,871958758ffffff,7,531.3106060606061,0.0,0.0,"[51.39639655557957, -2.7609187132874133]",2,437.3657218138055,1000,400,500000,0.5701524077373301,0.9938440649750949,14.823962601170583,444.7188780351175,29.815321949252848,300
75,871958625ffffff,7,0.0,0.0,0.0,"[51.46562502804506, -2.8487624068015314]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
76,871958630ffffff,7,0.0,0.0,0.0,"[51.47603715373642, -2.9696084924097987]",6,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
77,8719583b4ffffff,7,0.0,0.0,0.0,"[51.526916230345925, -2.4977560195748882]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
78,871958746ffffff,7,475.6645833333333,0.0,0.0,"[51.4550975137422, -2.7280716537361163]",1,437.3657218138055,1000,400,0,0.5104383469279704,0.8897552912970838,13.27139702012723,398.1419106038169,26.692658738912513,300
79,8719586edffffff,7,0.0,0.0,0.0,"[51.27421312998584, -2.8920774971025374]",7,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
80,871958293ffffff,7,0.0,0.0,0.0,"[51.30977268325481, -2.651492175711781]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
81,8719580cdffffff,7,0.0,5.0,2.0,"[51.52256426235642, -2.563535921414684]",0,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
