hex9,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
891958740b3ffff,88.41203703703704,0.0,16,89195876c5bffff,2.0,8.0,51.43874093292289,-2.692054856520954,1119.1485642460048
8919580db13ffff,476.875,0.0,23,8919587652fffff,1.0,2.0,51.5165349939926,-2.693596929255953,6036.440166526665
89195876c3bffff,35.729166666666664,0.0,2,89195876c73ffff,1.0,2.0,51.43918896034116,-2.6059810798761807,452.2715109477165
89195876207ffff,175.06944444444446,0.0,15,8919587652fffff,1.0,2.0,51.47441133682158,-2.681078484712895,2216.086451116022
891958773afffff,3152.25,0.0,27,8919587652fffff,1.0,2.0,51.46778585693977,-2.739041910195916,39902.214448091596
8919587414fffff,543.4270833333334,0.0,22,89195876c5bffff,3.0,10.0,51.41950264793942,-2.6983211556786593,6878.878266656392
8919583902bffff,677.6805555555555,0.0,3,8919583907bffff,1.0,4.0,51.45813601979513,-2.563699423470489,8578.302753613967
89195876637ffff,786.824074074074,0.0,13,8919587652fffff,1.0,2.0,51.48900538725989,-2.6638382370404714,9959.87721044486
89195876013ffff,826.3636363636364,0.0,9,8919587652fffff,1.0,2.0,51.481899070997834,-2.649748001973295,10460.381959009153
89195876c57ffff,629.275,2.0,0,89195876c57ffff,1.0,2.0,51.44661588079893,-2.6153558713621896,7965.569354214557
89195876d6fffff,11.791666666666666,0.0,9,89195876c73ffff,1.0,2.0,51.418433998529736,-2.5950719480825595,149.26278437108311
89195876d63ffff,30.166666666666668,0.0,8,89195876c73ffff,1.0,2.0,51.421225848412085,-2.5935025274775914,381.85956142990875
89195876bbbffff,9.541666666666666,0.0,13,89195876c73ffff,1.0,2.0,51.40599877498448,-2.62011408622345,120.78154636387997
89195839503ffff,348.125,0.0,5,8919583942fffff,1.0,6.0,51.46838103084489,-2.5308180618846725,4406.680436114486
89195876863ffff,5.208333333333333,0.0,8,89195876c73ffff,1.0,2.0,51.41901159052859,-2.6263501228874664,65.92879168334059
89195839647ffff,5.895833333333333,0.0,7,8919587652fffff,1.0,2.0,51.48289479201029,-2.594942646072103,74.63139218554156
8919583933bffff,29.041666666666668,0.0,3,89195839357ffff,1.0,9.0,51.441394374638804,-2.5731264294021594,367.61894242630717
89195839ebbffff,147.125,0.0,2,89195839eb7ffff,1.0,11.0,51.42995295199689,-2.543444744796,1862.3565074710052
891958392cbffff,60.041666666666664,0.0,2,8919587652fffff,1.0,2.0,51.47141935290048,-2.6059225215836883,760.0271105255504
89195839157ffff,10.25,0.0,7,8919583901bffff,3.0,15.0,51.45102012815196,-2.549639933614055,129.74786203281428
8919583942fffff,36.666666666666664,6.0,0,8919583942fffff,1.0,6.0,51.47518588406655,-2.5495724645970728,464.13869345071777
8919580db23ffff,156.25,0.0,21,8919587652fffff,1.0,2.0,51.50600536235904,-2.6904654926290426,1977.863750500218
8919583984fffff,9.875,0.0,6,89195839eb7ffff,1.0,11.0,51.41104584740422,-2.545062424521902,125.00098903161377
8919583932bffff,35.625,0.0,4,89195839357ffff,2.0,13.0,51.438603657340714,-2.5746971331390727,450.9529351140497
89195877587ffff,9.5,0.0,21,8919587652fffff,1.0,2.0,51.497630501922686,-2.6951697343126084,120.25411603041324
891958391c3ffff,240.16666666666666,0.0,6,8919583901bffff,1.0,2.0,51.4565994355246,-2.5464959098850013,3040.1084421022015
8919583930fffff,807.1527777777778,0.0,2,89195839357ffff,1.0,9.0,51.443870628879786,-2.57624893407265,10217.204609806238
8919586e077ffff,12.166666666666666,0.0,10,8919586e613ffff,1.0,3.0,51.32051405554093,-2.9610861434216837,154.00965737228364
89195862cc3ffff,51.333333333333336,0.0,5,89195862eb3ffff,1.0,4.0,51.43648703037783,-2.8424230501230556,649.794170831005
89195875267ffff,470.5833333333333,0.0,8,89195862eb3ffff,1.0,4.0,51.43993472690164,-2.8314600579249434,5956.79818617319
8919586289bffff,364.0520833333333,0.0,4,89195862eb3ffff,1.0,4.0,51.41755529975063,-2.843946790587998,4608.2906810821405
89195838243ffff,3.0,0.0,9,89195839eb7ffff,2.0,17.0,51.45289568034938,-2.5214831504896345,37.974984009604185
89195839e6bffff,5.375,0.0,7,89195839eb7ffff,1.0,11.0,51.42311599505366,-2.565352099024142,68.03851301720749
891958395c3ffff,391.0833333333333,0.0,3,8919583942fffff,1.0,6.0,51.47612302108259,-2.535487648509823,4950.461109918679
89195839027ffff,7.166666666666667,0.0,5,8919583901bffff,2.0,6.0,51.455973148256795,-2.555883176352531,90.71801735627666
89195876c63ffff,9.416666666666666,0.0,1,89195876c73ffff,1.0,2.0,51.43855704377916,-2.615369197065473,119.19925536347979
891958744d7ffff,2.5833333333333335,0.0,17,8919587652fffff,1.0,2.0,51.46539677894824,-2.695178565660281,32.70068067493694
89195839007ffff,24.125,0.0,2,8919583901bffff,1.0,2.0,51.463715555100755,-2.5605560274291257,305.38216307723366
891958390dbffff,10.958333333333334,0.0,3,8919583901bffff,1.0,2.0,51.476409558369944,-2.5714778438525023,138.71417770174864
8919587690bffff,80.79166666666667,0.0,13,89195876c73ffff,1.0,2.0,51.40726533426286,-2.6013483066835743,1022.6874165919794
